libelle;libelle_complet;commune;code_insee;sti;rivoli;
ALL DE LA TERRASSE;Allée de la Terrasse;COLOMIERS;31149;311490000445;3101491250K;
IMP DJANGO REINHARDT;Impasse Django Reinhardt;TOULOUSE;31555;315558382414;3105552673S;
RUE DU TUCARD;Rue du Tucard;ST-ORENS-DE-GAMEVILLE;31506;315060000203;3105061270E;
ALL DU CARLITTE;Allée du Carlitte;COLOMIERS;31149;311490000098;3101490297Z;
RUE DES PERVENCHES;Rue des Pervenches;UNION;31561;315610000210;3105610545C;
RUE DU PR ANTOINE BAISSET;Rue du Professeur Antoine Baïsset;TOULOUSE;31555;315558432222;3105550375U;
PL GILBERT PRIVAT;Place Gilbert Privat;TOULOUSE;31555;315558350358;3105553894U;
RUE DE LA HIRE;Rue de la Hire;GAGNAC-SUR-GARONNE;31205;312050000033;3102050110C;
ALL FLANDRES DUNKERQUE 1940;Allée Flandres Dunkerque 1940;BLAGNAC;31069;310690000003;3100690352G;
RUE VERLAINE;Rue Verlaine;ST-JEAN;31488;314880000036;3104880740G;
CHE DES TOURNESOLS;Chemin des Tournesols;AIGREFEUILLE;31003;310030000048;3100030250H;
RUE DEODAT ROCHE;Rue Déodat Roché;TOULOUSE;31555;315558424815;3105552599L;
RUE DES GENETS;Rue des Genêts;ST-ORENS-DE-GAMEVILLE;31506;315060000081;3105060676J;
RUE DES PRINCES;Rue des Princes;TOULOUSE;31555;315555603236;3105557136T;
AV DU BICENTENAIRE;Avenue du Bicentenaire;BALMA;31044;310440000001;3100440135E;
RTE DE GAURE;Route de Gauré;MONS;31355;313550000063;3103550015X;
CHE D EMBAX;Chemin d'Embax;COLOMIERS;31149;311490000166;3101490480Y;
IMP DU CIMETIERE;Impasse du Cimetière;ST-ALBAN;31467;314670000159;P31467;
RUE CEZANNE;Rue Cézanne;BLAGNAC;31069;310690000097;3100690172L;
VA VA008776;Voie anomyme numéro 008776;TOULOUSE;31555;31555A008776;310555;
IMP DES PRADELETS;Impasse des Pradelets;ST-ORENS-DE-GAMEVILLE;31506;315060000161;3105061026P;
RUE DE LA VIOLETTE;Rue de la Violette;LAUNAGUET;31282;312820000137;3102820258D;
RUE EMILE DEWOITINE;Rue Émile Dewoitine;BALMA;31044;310440000090;3100440323J;
ALL DE BORDENEUVE;Allée de Bordeneuve;PIBRAC;31417;314170000037;3104170037B;
IMP DES PETUNIAS;Impasse des Pétunias;TOULOUSE;31555;315558367957;3105556798A;
RUE DES CANARIS;Rue des Canaris;TOULOUSE;31555;315551379208;3105551616T;
IMP RAYMOND LOEWY;Impasse Raymond Loewy;AUCAMVILLE;31022;310220000093;3100220319A;
ALL DE CAMIS SUD;Allée de Camis-Sud;AUSSONNE;31032;310320000018;3100320036Z;
RUE DANIEL SORANO;Rue Daniel Sorano;BALMA;31044;310440000263;3100440300J;
IMP DE MAURESSAC;Impasse De Mauressac;FLOURENS;31184;311840000043;3101840201T;
IMP PAUL LANGEVIN;Impasse Paul Langevin;CASTELGINEST;31116;311160000100;3101160793G;
RUE DE BEAUSOLEIL;Rue de Beausoleil;UNION;31561;315610000036;3105610059Z;
PL SAINT AUBIN;Place Saint Aubin;TOULOUSE;31555;315558427233;3105557709R;
IMP DE NOVITAL;Impasse De Novital;SAINT-JORY;31490;314900000073;3104900231V;
RUE DU DOCTEUR PAUL PUJOS;Rue du Docteur Paul Pujos;TOULOUSE;31555;315552364849;3105552716N;
CHE DE LA VIOLETTE;Chemin de la Violette;UNION;31561;315610000292;3105610792W;
RUE DE LA FERME;Rue de la Ferme;ST-ORENS-DE-GAMEVILLE;31506;315060000068;3105060635P;
RUE DU VAR;Rue du Var;TOULOUSE;31555;315557097639;3105558716K;
IMP DES PECHERS;Impasse Des Pêchers;BRUGUIERES;31091;310910000007;3100912751U;
AV GASPARD CORIOLIS;Avenue Gaspard Coriolis;TOULOUSE;31555;315550000510;3105554063C;
RUE DES NOUVEAUX PARADOUX;Rue des Nouveaux Paradoux;BALMA;31044;310440000299;3100440623K;
RUE LEO DELIBES;Rue Léo Delibes;CUGNAUX;31157;311570000086;3101570400B;
BD DU MARECHAL JUIN;Boulevard du Maréchal Juin;TOULOUSE;31555;315554380818;3105555654G;
RUE JEAN CALAS;Rue Jean Calas;TOULOUSE;31555;315551305608;3105554528H;
CHE DU CARRELOT;Chemin du Carrelot;TOULOUSE;31555;315551459215;3105551716B;
IMP ADOLPHE COLL;Impasse Adolphe Coll;TOURNEFEUILLE;31557;315570000154;3105570525Y;
RUE BOUCHER DE PERTHES;Rue Boucher de Perthes;VILLENEUVE-TOLOSANE;31588;315880000135;3105880123B;
RUE DE LA TRAMONTANE;Rue de la Tramontane;UNION;31561;315610000280;3105610768V;
RUE DE LA GRECE;Rue de la Grèce;TOULOUSE;31555;315553324811;3105554008T;
PL LOUIS MEROC;Place Louis Meroc;TOULOUSE;31555;315558380353;3105555390V;
RUE DES GALAPAGOS;Rue des Galapagos;ST-ORENS-DE-GAMEVILLE;31506;315060000077;3105060669B;
IMP FRANCOIS TRUFFAUT;Impasse François Truffaut;LAUNAGUET;31282;312820000113;3102820134U;
CHE DU BRODEUR;Chemin du Brodeur;PIBRAC;31417;314170000043;3104170042G;
RUE DES MIMOSAS;Rue des Mimosas;PIBRAC;31417;314170000123;3104170275K;
RUE DES PRIMEVERES;Rue des Primevères;TOULOUSE;31555;315555602430;3105557132N;
RUE ADOLPHE COLL;Rue Adolphe Coll;TOULOUSE;31555;315551856016;3105550048N;
RUE DU PEYRESOURDE;Rue du Peyresourde;TOURNEFEUILLE;31557;315570000357;3105572992E;
ALL DE LASPLANES;Allée de Lasplanes;COLOMIERS;31149;311490000241;3101490750S;
VA VA000099;Voie Anonyme Numéro 000099;BALMA;31044;31044A000099;;
PASSERELLE ALBERT VIALA;Passerelle Albert Viala;TOULOUSE;31555;315559000179;3105550913D;
RUE GERARD PHILIPPE;Rue Gérard Philippe;LAUNAGUET;31282;312820000089;3102820138Y;
RUE LESPES;Rue Lespes;TOULOUSE;31555;315554054444;3105555192E;
IMP CH MARIE LECONTE DE LISLE;Impasse Charles-Marie Leconte de Lisle;TOULOUSE;31555;315558436160;3105551914S;
CLOS DES NENUPHARS;Clos des Nénuphars;TOURNEFEUILLE;31557;315570000315;3105572760C;
VOIE COM 8 DE LA BEAUTE A EPAGNOL;Voie Communale 8 de la Beauté à l'Epagnol;GAGNAC-SUR-GARONNE;31205;312050000020;310205;
AV SUZANNE LENGLEN;Avenue Suzanne Lenglen;BALMA;31044;310440000335;P310044;
RUE DES BERGERS;Rue des Bergers;PIBRAC;31417;314170000030;3104170030U;
RUE ELSA TRIOLET;Rue Elsa Triolet;LAUNAGUET;31282;312820000141;3102820111U;
RUE LOUIS AUGUSTE BLANQUI;Rue Louis-auguste Blanqui;ST-JEAN;31488;314880000122;3104880411Z;
RUE DE VERFEIL;Rue de Verfeil;TOULOUSE;31555;315557190450;3105558792T;
ALL PAUL FEUGA;Allées Paul Feuga;TOULOUSE;31555;315552777627;3105556620G;
RUE DES MARGUERITES;Rue des Marguerites;TOULOUSE;31555;315554403253;3105555676F;
AV FRANCOIS MITTERRAND;Avenue François Mitterrand;BALMA;31044;310440000171;3100440359Y;
PAS BOURGUIGNON;Passage Bourguignon;BALMA;31044;310440000049;3100440171U;
